BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
Pf11_c06538_NODE_65...region001	c06538_NODE_65..	NODE_6538_length_9226_cov_6.152655	NRPS-like	NRPS		
Pf11_c06678_NODE_66...region001	c06678_NODE_66..	NODE_6678_length_9051_cov_6.426301	bacteriocin	RiPPs		
Pf11_c06701_NODE_67...region001	c06701_NODE_67..	NODE_6701_length_9026_cov_6.335637	bacteriocin	RiPPs		
Pf11_c06708_NODE_67...region001	c06708_NODE_67..	NODE_6708_length_9019_cov_6.417113	NRPS-like	NRPS		
Pf11_c06812_NODE_68...region001	c06812_NODE_68..	NODE_6812_length_8900_cov_5.481402	T1PKS	PKSI		
Pf11_c07275_NODE_72...region001	c07275_NODE_72..	NODE_7275_length_8435_cov_6.026014	LAP	RiPPs		
Pf11_c07299_NODE_72...region001	c07299_NODE_72..	NODE_7299_length_8407_cov_5.875479	terpene	Terpene		
Pf11_c07357_NODE_73...region001	c07357_NODE_73..	NODE_7357_length_8349_cov_11.538220	terpene	Terpene		
Pf11_c07534_NODE_75...region001	c07534_NODE_75..	NODE_7534_length_8185_cov_35.068758	NRPS-like	NRPS		
Pf11_c07741_NODE_77...region001	c07741_NODE_77..	NODE_7741_length_8032_cov_17.838034	terpene	Terpene		
Pf11_c07803_NODE_78...region001	c07803_NODE_78..	NODE_7803_length_7975_cov_17.611111	terpene	Terpene		
Pf11_c07906_NODE_79...region001	c07906_NODE_79..	NODE_7906_length_7895_cov_13.083929	arylpolyene	Others		
Pf11_c07982_NODE_79...region001	c07982_NODE_79..	NODE_7982_length_7831_cov_6.303755	NRPS-like	NRPS		
Pf11_c08063_NODE_80...region001	c08063_NODE_80..	NODE_8063_length_7774_cov_4.732349	NRPS-like	NRPS		
Pf11_c08346_NODE_83...region001	c08346_NODE_83..	NODE_8346_length_7547_cov_11.156567	NRPS-like	NRPS		
Pf11_c08437_NODE_84...region001	c08437_NODE_84..	NODE_8437_length_7478_cov_6.234137	phosphonate	Others		
Pf11_c08643_NODE_86...region001	c08643_NODE_86..	NODE_8643_length_7356_cov_5.604986	ladderane	Others		
Pf11_c08663_NODE_86...region001	c08663_NODE_86..	NODE_8663_length_7338_cov_6.314980	bacteriocin	RiPPs		
Pf11_c08868_NODE_88...region001	c08868_NODE_88..	NODE_8868_length_7188_cov_16.944483	terpene	Terpene		
Pf11_c08902_NODE_89...region001	c08902_NODE_89..	NODE_8902_length_7163_cov_18.379432	terpene	Terpene		
Pf11_c08978_NODE_89...region001	c08978_NODE_89..	NODE_8978_length_7121_cov_6.267903	terpene	Terpene		
Pf11_c09072_NODE_90...region001	c09072_NODE_90..	NODE_9072_length_7066_cov_12.938097	T1PKS	PKSI		
Pf11_c09134_NODE_91...region001	c09134_NODE_91..	NODE_9134_length_7031_cov_12.760894	bacteriocin	RiPPs		
Pf11_c09329_NODE_93...region001	c09329_NODE_93..	NODE_9329_length_6922_cov_5.915538	head_to_tail	RiPPs		
Pf11_c09793_NODE_97...region001	c09793_NODE_97..	NODE_9793_length_6639_cov_4.979192	phosphonate	Others		
Pf11_c09991_NODE_99...region001	c09991_NODE_99..	NODE_9991_length_6529_cov_11.939605	bacteriocin	RiPPs		
Pf11_c10052_NODE_10...region001	c10052_NODE_10..	NODE_10052_length_6498_cov_6.945522	terpene	Terpene		
Pf11_c10303_NODE_10...region001	c10303_NODE_10..	NODE_10303_length_6362_cov_8.049469	NRPS	NRPS		
Pf11_c10501_NODE_10...region001	c10501_NODE_10..	NODE_10501_length_6269_cov_8.312520	arylpolyene	Others		
Pf11_c10678_NODE_10...region001	c10678_NODE_10..	NODE_10678_length_6181_cov_5.047992	NRPS-like	NRPS		
Pf11_c10834_NODE_10...region001	c10834_NODE_10..	NODE_10834_length_6117_cov_5.604586	arylpolyene	Others		
Pf11_c11023_NODE_11...region001	c11023_NODE_11..	NODE_11023_length_6027_cov_5.153048	terpene	Terpene		
Pf11_c11453_NODE_11...region001	c11453_NODE_11..	NODE_11453_length_5834_cov_28.663783	terpene	Terpene		
Pf11_c11877_NODE_11...region001	c11877_NODE_11..	NODE_11877_length_5648_cov_5.531915	T1PKS	PKSI		
Pf11_c11907_NODE_11...region001	c11907_NODE_11..	NODE_11907_length_5635_cov_8.145520	NRPS	NRPS		
Pf11_c11985_NODE_11...region001	c11985_NODE_11..	NODE_11985_length_5608_cov_10.734918	bacteriocin	RiPPs		
Pf11_c12341_NODE_12...region001	c12341_NODE_12..	NODE_12341_length_5465_cov_13.727357	betalactone	Others		
Pf11_c12398_NODE_12...region001	c12398_NODE_12..	NODE_12398_length_5448_cov_5.136102	terpene	Terpene		
Pf11_c12865_NODE_12...region001	c12865_NODE_12..	NODE_12865_length_5278_cov_4.942370	T1PKS	PKSI		
Pf11_c12970_NODE_12...region001	c12970_NODE_12..	NODE_12970_length_5238_cov_5.255065	T1PKS	PKSI		
Pf11_c12979_NODE_12...region001	c12979_NODE_12..	NODE_12979_length_5236_cov_4.901563	bacteriocin	RiPPs		
Pf11_c13021_NODE_13...region001	c13021_NODE_13..	NODE_13021_length_5223_cov_3.402670	bacteriocin	RiPPs		
Pf11_c13122_NODE_13...region001	c13122_NODE_13..	NODE_13122_length_5185_cov_7.440741	terpene	Terpene		
Pf11_c13148_NODE_13...region001	c13148_NODE_13..	NODE_13148_length_5179_cov_4.673888	terpene	Terpene		
Pf11_c13713_NODE_13...region001	c13713_NODE_13..	NODE_13713_length_4992_cov_6.123152	bacteriocin	RiPPs		
Pf11_c13762_NODE_13...region001	c13762_NODE_13..	NODE_13762_length_4975_cov_19.412805	terpene	Terpene		
Pf11_c13806_NODE_13...region001	c13806_NODE_13..	NODE_13806_length_4965_cov_5.844399	lanthipeptide	RiPPs		
Pf11_c14068_NODE_14...region001	c14068_NODE_14..	NODE_14068_length_4891_cov_7.435277	NRPS-like	NRPS		
Pf11_c14175_NODE_14...region001	c14175_NODE_14..	NODE_14175_length_4856_cov_4.482400	terpene	Terpene		
Pf11_c14692_NODE_14...region001	c14692_NODE_14..	NODE_14692_length_4706_cov_12.881961	terpene	Terpene		
Pf11_c14775_NODE_14...region001	c14775_NODE_14..	NODE_14775_length_4682_cov_8.921547	terpene	Terpene		
Pf11_c15067_NODE_15...region001	c15067_NODE_15..	NODE_15067_length_4598_cov_5.766894	terpene	Terpene		
Pf11_c15072_NODE_15...region001	c15072_NODE_15..	NODE_15072_length_4597_cov_21.250991	NRPS-like	NRPS		
Pf11_c15073_NODE_15...region001	c15073_NODE_15..	NODE_15073_length_4597_cov_4.173712	terpene	Terpene		
Pf11_c15686_NODE_15...region001	c15686_NODE_15..	NODE_15686_length_4441_cov_4.774054	T1PKS	PKSI		
Pf11_c15941_NODE_15...region001	c15941_NODE_15..	NODE_15941_length_4379_cov_14.244681	bacteriocin	RiPPs		
Pf11_c16197_NODE_16...region001	c16197_NODE_16..	NODE_16197_length_4321_cov_9.916081	bacteriocin	RiPPs		
Pf11_c16495_NODE_16...region001	c16495_NODE_16..	NODE_16495_length_4254_cov_5.645392	T1PKS	PKSI		
Pf11_c16777_NODE_16...region001	c16777_NODE_16..	NODE_16777_length_4195_cov_8.297826	T1PKS	PKSI		
Pf11_c16986_NODE_16...region001	c16986_NODE_16..	NODE_16986_length_4149_cov_37.423791	T1PKS	PKSI		
Pf11_c17138_NODE_17...region001	c17138_NODE_17..	NODE_17138_length_4114_cov_16.466125	terpene	Terpene		
Pf11_c17152_NODE_17...region001	c17152_NODE_17..	NODE_17152_length_4111_cov_14.127959	terpene	Terpene		
Pf11_c17192_NODE_17...region001	c17192_NODE_17..	NODE_17192_length_4102_cov_4.565110	lanthipeptide.bacteriocin	RiPPs		
Pf11_c17398_NODE_17...region001	c17398_NODE_17..	NODE_17398_length_4060_cov_5.674157	terpene	Terpene		
Pf11_c17615_NODE_17...region001	c17615_NODE_17..	NODE_17615_length_4017_cov_5.272337	T1PKS	PKSI		
Pf12_c00001_NODE_1_...region001	c00001_NODE_1_..	NODE_1_length_783701_cov_17.755206	terpene	Terpene		
Pf12_c00004_NODE_4_...region001	c00004_NODE_4_..	NODE_4_length_525396_cov_8.202040	T1PKS	PKSI		
Pf12_c00005_NODE_5_...region001	c00005_NODE_5_..	NODE_5_length_504537_cov_9.684621	terpene	Terpene		
Pf12_c00010_NODE_10...region001	c00010_NODE_10..	NODE_10_length_397328_cov_18.037818	betalactone	Others		
Pf12_c00014_NODE_14...region001	c00014_NODE_14..	NODE_14_length_309488_cov_22.618399	betalactone	Others		
Pf12_c00018_NODE_18...region001	c00018_NODE_18..	NODE_18_length_268968_cov_19.849944	T1PKS	PKSI		
Pf12_c00022_NODE_22...region001	c00022_NODE_22..	NODE_22_length_248810_cov_72.031344	NRPS-like	NRPS		
Pf12_c00031_NODE_31...region001	c00031_NODE_31..	NODE_31_length_194908_cov_8.307570	bacteriocin	RiPPs		
Pf12_c00032_NODE_32...region001	c00032_NODE_32..	NODE_32_length_194714_cov_13.646556	terpene	Terpene		
Pf12_c00033_NODE_33...region001	c00033_NODE_33..	NODE_33_length_191428_cov_11.482388	terpene	Terpene		
Pf12_c00038_NODE_38...region001	c00038_NODE_38..	NODE_38_length_183711_cov_16.993913	T1PKS	PKSI		
Pf12_c00043_NODE_43...region001	c00043_NODE_43..	NODE_43_length_176789_cov_21.631327	T1PKS	PKSI		
Pf12_c00044_NODE_44...region001	c00044_NODE_44..	NODE_44_length_176713_cov_13.711029	terpene	Terpene		
Pf12_c00050_NODE_50...region001	c00050_NODE_50..	NODE_50_length_173705_cov_9.856044	terpene	Terpene		
Pf12_c00058_NODE_58...region001	c00058_NODE_58..	NODE_58_length_157248_cov_27.080691	arylpolyene	Others		
Pf12_c00088_NODE_88...region001	c00088_NODE_88..	NODE_88_length_129348_cov_9.185493	bacteriocin	RiPPs		
Pf12_c00101_NODE_10...region001	c00101_NODE_10..	NODE_101_length_125031_cov_28.194613	NRPS-like	NRPS		
Pf12_c00102_NODE_10...region001	c00102_NODE_10..	NODE_102_length_124925_cov_13.742893	bacteriocin	RiPPs		
Pf12_c00117_NODE_11...region001	c00117_NODE_11..	NODE_117_length_116924_cov_9.838640	NRPS-like	NRPS		
Pf12_c00118_NODE_11...region001	c00118_NODE_11..	NODE_118_length_116772_cov_30.081702	NRPS-like	NRPS		
Pf12_c00141_NODE_14...region001	c00141_NODE_14..	NODE_141_length_110152_cov_72.797143	terpene	Terpene		
Pf12_c00145_NODE_14...region001	c00145_NODE_14..	NODE_145_length_107061_cov_18.655346	terpene	Terpene		
Pf12_c00163_NODE_16...region001	c00163_NODE_16..	NODE_163_length_100488_cov_60.894985	terpene	Terpene		
Pf12_c00168_NODE_16...region001	c00168_NODE_16..	NODE_168_length_99223_cov_11.916818	terpene	Terpene		
Pf12_c00195_NODE_19...region001	c00195_NODE_19..	NODE_195_length_90839_cov_20.065507	terpene	Terpene		
Pf12_c00206_NODE_20...region001	c00206_NODE_20..	NODE_206_length_87061_cov_29.249649	bacteriocin	RiPPs		
Pf12_c00212_NODE_21...region001	c00212_NODE_21..	NODE_212_length_85877_cov_10.233775	LAP.bacteriocin	RiPPs		
Pf12_c00227_NODE_22...region001	c00227_NODE_22..	NODE_227_length_80950_cov_10.001854	terpene	Terpene		
Pf12_c00243_NODE_24...region001	c00243_NODE_24..	NODE_243_length_77737_cov_15.607181	phosphonate	Others		
Pf12_c00246_NODE_24...region001	c00246_NODE_24..	NODE_246_length_76855_cov_22.868047	terpene	Terpene		
Pf12_c00255_NODE_25...region001	c00255_NODE_25..	NODE_255_length_75713_cov_30.004798	T1PKS	PKSI		
Pf12_c00262_NODE_26...region001	c00262_NODE_26..	NODE_262_length_74591_cov_49.823562	LAP.bacteriocin	RiPPs		
Pf12_c00269_NODE_26...region001	c00269_NODE_26..	NODE_269_length_73094_cov_20.229371	terpene	Terpene		
Pf12_c00271_NODE_27...region001	c00271_NODE_27..	NODE_271_length_72988_cov_11.775657	lassopeptide	RiPPs		
Pf12_c00273_NODE_27...region001	c00273_NODE_27..	NODE_273_length_72666_cov_30.071725	terpene	Terpene		
Pf12_c00281_NODE_28...region001	c00281_NODE_28..	NODE_281_length_71326_cov_28.458700	terpene	Terpene		
Pf12_c00286_NODE_28...region001	c00286_NODE_28..	NODE_286_length_70577_cov_29.783557	bacteriocin	RiPPs		
Pf12_c00323_NODE_32...region001	c00323_NODE_32..	NODE_323_length_67317_cov_26.949734	bacteriocin	RiPPs		
Pf12_c00362_NODE_36...region001	c00362_NODE_36..	NODE_362_length_61744_cov_42.889867	terpene	Terpene		
Pf12_c00388_NODE_38...region001	c00388_NODE_38..	NODE_388_length_58589_cov_17.959408	terpene	Terpene		
Pf12_c00417_NODE_41...region001	c00417_NODE_41..	NODE_417_length_56204_cov_29.692693	terpene	Terpene		
Pf12_c00427_NODE_42...region001	c00427_NODE_42..	NODE_427_length_55746_cov_29.970588	lanthipeptide	RiPPs		
Pf12_c00437_NODE_43...region001	c00437_NODE_43..	NODE_437_length_54893_cov_27.375105	terpene	Terpene		
Pf12_c00457_NODE_45...region001	c00457_NODE_45..	NODE_457_length_53552_cov_11.805129	terpene	Terpene		
Pf12_c00477_NODE_47...region001	c00477_NODE_47..	NODE_477_length_52352_cov_13.154980	terpene	Terpene		
Pf12_c00482_NODE_48...region001	c00482_NODE_48..	NODE_482_length_51854_cov_13.498581	bacteriocin	RiPPs		
Pf12_c00497_NODE_49...region001	c00497_NODE_49..	NODE_497_length_50689_cov_9.224730	bacteriocin	RiPPs		
Pf12_c00515_NODE_51...region001	c00515_NODE_51..	NODE_515_length_49872_cov_40.266114	arylpolyene	Others		
Pf12_c00588_NODE_58...region001	c00588_NODE_58..	NODE_588_length_45938_cov_9.666238	NRPS-like	NRPS		
Pf12_c00589_NODE_58...region001	c00589_NODE_58..	NODE_589_length_45891_cov_18.143359	terpene	Terpene		
Pf12_c00593_NODE_59...region001	c00593_NODE_59..	NODE_593_length_45546_cov_10.575740	terpene	Terpene		
Pf12_c00596_NODE_59...region001	c00596_NODE_59..	NODE_596_length_45466_cov_8.742507	terpene	Terpene		
Pf12_c00606_NODE_60...region001	c00606_NODE_60..	NODE_606_length_44861_cov_28.855622	bacteriocin	RiPPs		
Pf12_c00626_NODE_62...region001	c00626_NODE_62..	NODE_626_length_43798_cov_8.107834	terpene	Terpene		
Pf12_c00656_NODE_65...region001	c00656_NODE_65..	NODE_656_length_42813_cov_21.231115	terpene	Terpene		
Pf12_c00689_NODE_68...region001	c00689_NODE_68..	NODE_689_length_41486_cov_11.746880	betalactone	Others		
Pf12_c00739_NODE_73...region001	c00739_NODE_73..	NODE_739_length_39357_cov_6.955473	T1PKS	PKSI		
Pf12_c00761_NODE_76...region001	c00761_NODE_76..	NODE_761_length_38816_cov_12.475659	bacteriocin	RiPPs		
Pf12_c00762_NODE_76...region001	c00762_NODE_76..	NODE_762_length_38805_cov_27.865368	terpene	Terpene		
Pf12_c00770_NODE_77...region001	c00770_NODE_77..	NODE_770_length_38573_cov_10.315697	NRPS-like	NRPS		
Pf12_c00790_NODE_79...region001	c00790_NODE_79..	NODE_790_length_38078_cov_64.605739	lanthipeptide	RiPPs		
Pf12_c00804_NODE_80...region001	c00804_NODE_80..	NODE_804_length_37472_cov_9.835182	T1PKS	PKSI		
Pf12_c00816_NODE_81...region001	c00816_NODE_81..	NODE_816_length_37061_cov_7.319029	lanthipeptide.bacteriocin	RiPPs		
Pf12_c00862_NODE_86...region001	c00862_NODE_86..	NODE_862_length_35691_cov_18.985015	NRPS-like	NRPS		
Pf12_c00876_NODE_87...region001	c00876_NODE_87..	NODE_876_length_35343_cov_24.983989	T1PKS	PKSI		
Pf12_c00943_NODE_94...region001	c00943_NODE_94..	NODE_943_length_34249_cov_11.541528	lanthipeptide	RiPPs		
Pf12_c00966_NODE_96...region001	c00966_NODE_96..	NODE_966_length_33718_cov_47.895523	NRPS-like	NRPS		
Pf12_c01029_NODE_10...region001	c01029_NODE_10..	NODE_1029_length_32224_cov_12.137337	bacteriocin	RiPPs		
Pf12_c01031_NODE_10...region001	c01031_NODE_10..	NODE_1031_length_32181_cov_8.552636	terpene	Terpene		
Pf12_c01081_NODE_10...region001	c01081_NODE_10..	NODE_1081_length_31034_cov_12.163659	betalactone	Others		
Pf12_c01090_NODE_10...region001	c01090_NODE_10..	NODE_1090_length_30791_cov_7.360001	lassopeptide	RiPPs		
Pf12_c01095_NODE_10...region001	c01095_NODE_10..	NODE_1095_length_30719_cov_15.958453	terpene	Terpene		
Pf12_c01135_NODE_11...region001	c01135_NODE_11..	NODE_1135_length_30029_cov_44.091780	T1PKS	PKSI		
Pf12_c01140_NODE_11...region001	c01140_NODE_11..	NODE_1140_length_29899_cov_26.358866	terpene	Terpene		
Pf12_c01143_NODE_11...region001	c01143_NODE_11..	NODE_1143_length_29885_cov_13.299665	terpene	Terpene		
Pf12_c01145_NODE_11...region001	c01145_NODE_11..	NODE_1145_length_29849_cov_24.030409	lassopeptide	RiPPs		
Pf12_c01206_NODE_12...region001	c01206_NODE_12..	NODE_1206_length_28850_cov_50.468241	terpene	Terpene		
Pf12_c01216_NODE_12...region001	c01216_NODE_12..	NODE_1216_length_28722_cov_24.959780	T1PKS	PKSI		
Pf12_c01232_NODE_12...region001	c01232_NODE_12..	NODE_1232_length_28565_cov_8.282076	bacteriocin	RiPPs		
Pf12_c01314_NODE_13...region001	c01314_NODE_13..	NODE_1314_length_27282_cov_9.019539	terpene	Terpene		
Pf12_c01399_NODE_13...region001	c01399_NODE_13..	NODE_1399_length_25937_cov_8.951820	NRPS-like	NRPS		
Pf12_c01425_NODE_14...region001	c01425_NODE_14..	NODE_1425_length_25538_cov_11.796296	terpene	Terpene		
Pf12_c01496_NODE_14...region001	c01496_NODE_14..	NODE_1496_length_24724_cov_27.884957	terpene	Terpene		
Pf12_c01509_NODE_15...region001	c01509_NODE_15..	NODE_1509_length_24584_cov_9.021566	terpene	Terpene		
Pf12_c01588_NODE_15...region001	c01588_NODE_15..	NODE_1588_length_23803_cov_24.011075	terpene	Terpene		
Pf12_c01675_NODE_16...region001	c01675_NODE_16..	NODE_1675_length_22818_cov_6.127575	T1PKS	PKSI		
Pf12_c01691_NODE_16...region001	c01691_NODE_16..	NODE_1691_length_22673_cov_11.714077	bacteriocin	RiPPs		
Pf12_c01713_NODE_17...region001	c01713_NODE_17..	NODE_1713_length_22502_cov_9.283200	T3PKS	PKSother		
Pf12_c01870_NODE_18...region001	c01870_NODE_18..	NODE_1870_length_21332_cov_45.826573	terpene	Terpene		
Pf12_c01899_NODE_18...region001	c01899_NODE_18..	NODE_1899_length_21125_cov_7.771191	terpene	Terpene		
Pf12_c01916_NODE_19...region001	c01916_NODE_19..	NODE_1916_length_21009_cov_24.955665	terpene	Terpene		
Pf12_c01939_NODE_19...region001	c01939_NODE_19..	NODE_1939_length_20816_cov_44.253071	terpene	Terpene		
Pf12_c02056_NODE_20...region001	c02056_NODE_20..	NODE_2056_length_20156_cov_6.908263	T1PKS	PKSI		
Pf12_c02117_NODE_21...region001	c02117_NODE_21..	NODE_2117_length_19720_cov_9.439308	T1PKS	PKSI		
Pf12_c02168_NODE_21...region001	c02168_NODE_21..	NODE_2168_length_19362_cov_19.325219	T1PKS	PKSI		
Pf12_c02236_NODE_22...region001	c02236_NODE_22..	NODE_2236_length_18951_cov_28.570703	terpene	Terpene		
Pf12_c02281_NODE_22...region001	c02281_NODE_22..	NODE_2281_length_18730_cov_7.182383	terpene	Terpene		
Pf12_c02329_NODE_23...region001	c02329_NODE_23..	NODE_2329_length_18470_cov_6.091556	terpene	Terpene		
Pf12_c02348_NODE_23...region001	c02348_NODE_23..	NODE_2348_length_18378_cov_8.334771	bacteriocin	RiPPs		
Pf12_c02367_NODE_23...region001	c02367_NODE_23..	NODE_2367_length_18263_cov_6.654822	betalactone	Others		
Pf12_c02488_NODE_24...region001	c02488_NODE_24..	NODE_2488_length_17682_cov_44.968798	NRPS-like	NRPS		
Pf12_c02506_NODE_25...region001	c02506_NODE_25..	NODE_2506_length_17589_cov_9.805635	terpene	Terpene		
Pf12_c02510_NODE_25...region001	c02510_NODE_25..	NODE_2510_length_17578_cov_15.837642	terpene	Terpene		
Pf12_c02597_NODE_25...region001	c02597_NODE_25..	NODE_2597_length_17176_cov_6.675253	bacteriocin	RiPPs		
Pf12_c02720_NODE_27...region001	c02720_NODE_27..	NODE_2720_length_16568_cov_7.202568	bacteriocin	RiPPs		
Pf12_c02822_NODE_28...region001	c02822_NODE_28..	NODE_2822_length_16188_cov_27.339924	terpene	Terpene		
Pf12_c02886_NODE_28...region001	c02886_NODE_28..	NODE_2886_length_15937_cov_4.740965	terpene	Terpene		
Pf12_c02910_NODE_29...region001	c02910_NODE_29..	NODE_2910_length_15865_cov_10.495952	terpene	Terpene		
Pf12_c02930_NODE_29...region001	c02930_NODE_29..	NODE_2930_length_15772_cov_11.869313	phosphonate	Others		
Pf12_c02962_NODE_29...region001	c02962_NODE_29..	NODE_2962_length_15662_cov_8.071058	betalactone	Others		
Pf12_c03039_NODE_30...region001	c03039_NODE_30..	NODE_3039_length_15419_cov_6.966415	bacteriocin	RiPPs		
Pf12_c03043_NODE_30...region001	c03043_NODE_30..	NODE_3043_length_15403_cov_7.750130	bacteriocin	RiPPs		
Pf12_c03268_NODE_32...region001	c03268_NODE_32..	NODE_3268_length_14640_cov_6.974014	bacteriocin	RiPPs		
Pf12_c03376_NODE_33...region001	c03376_NODE_33..	NODE_3376_length_14308_cov_9.829931	arylpolyene	Others		
Pf12_c03392_NODE_33...region001	c03392_NODE_33..	NODE_3392_length_14259_cov_7.991622	terpene	Terpene		
Pf12_c03491_NODE_34...region001	c03491_NODE_34..	NODE_3491_length_13946_cov_7.221150	NRPS-like	NRPS		
Pf12_c03501_NODE_35...region001	c03501_NODE_35..	NODE_3501_length_13928_cov_47.234124	T1PKS	PKSI		
Pf12_c03536_NODE_35...region001	c03536_NODE_35..	NODE_3536_length_13815_cov_8.473038	terpene	Terpene		
Pf12_c03542_NODE_35...region001	c03542_NODE_35..	NODE_3542_length_13779_cov_57.246502	terpene	Terpene		
Pf12_c03561_NODE_35...region001	c03561_NODE_35..	NODE_3561_length_13725_cov_9.022751	terpene	Terpene		
Pf12_c03614_NODE_36...region001	c03614_NODE_36..	NODE_3614_length_13553_cov_8.168543	T1PKS	PKSI		
Pf12_c03820_NODE_38...region001	c03820_NODE_38..	NODE_3820_length_12994_cov_46.047840	bacteriocin	RiPPs		
Pf12_c03964_NODE_39...region001	c03964_NODE_39..	NODE_3964_length_12670_cov_21.119382	lassopeptide	RiPPs		
Pf12_c04044_NODE_40...region001	c04044_NODE_40..	NODE_4044_length_12457_cov_6.871956	terpene	Terpene		
Pf12_c04145_NODE_41...region001	c04145_NODE_41..	NODE_4145_length_12226_cov_29.245748	NRPS-like	NRPS		
Pf12_c04206_NODE_42...region001	c04206_NODE_42..	NODE_4206_length_12089_cov_9.090909	other	Others		
Pf12_c04245_NODE_42...region001	c04245_NODE_42..	NODE_4245_length_11999_cov_10.862106	T1PKS	PKSI		
Pf12_c04264_NODE_42...region001	c04264_NODE_42..	NODE_4264_length_11947_cov_5.277245	bacteriocin	RiPPs		
Pf12_c04274_NODE_42...region001	c04274_NODE_42..	NODE_4274_length_11917_cov_11.683021	NRPS-like	NRPS		
Pf12_c04301_NODE_43...region001	c04301_NODE_43..	NODE_4301_length_11852_cov_27.803848	T1PKS	PKSI		
Pf12_c04393_NODE_43...region001	c04393_NODE_43..	NODE_4393_length_11668_cov_50.442866	T1PKS	PKSI		
Pf12_c04407_NODE_44...region001	c04407_NODE_44..	NODE_4407_length_11646_cov_11.287896	terpene	Terpene		
Pf12_c04427_NODE_44...region001	c04427_NODE_44..	NODE_4427_length_11613_cov_13.272279	T3PKS	PKSother		
Pf12_c04646_NODE_46...region001	c04646_NODE_46..	NODE_4646_length_11145_cov_8.054373	NRPS-like	NRPS		
Pf12_c04734_NODE_47...region001	c04734_NODE_47..	NODE_4734_length_10964_cov_14.873132	terpene	Terpene		
Pf12_c04754_NODE_47...region001	c04754_NODE_47..	NODE_4754_length_10930_cov_28.277701	T1PKS	PKSI		
Pf12_c04756_NODE_47...region001	c04756_NODE_47..	NODE_4756_length_10930_cov_5.155402	NRPS	NRPS		
Pf12_c04767_NODE_47...region001	c04767_NODE_47..	NODE_4767_length_10910_cov_10.814832	NRPS	NRPS		
Pf12_c04778_NODE_47...region001	c04778_NODE_47..	NODE_4778_length_10890_cov_7.919705	T1PKS	PKSI		
Pf12_c04801_NODE_48...region001	c04801_NODE_48..	NODE_4801_length_10853_cov_12.984534	T1PKS	PKSI		
Pf12_c04991_NODE_49...region001	c04991_NODE_49..	NODE_4991_length_10539_cov_27.218237	terpene	Terpene		
Pf12_c05089_NODE_50...region001	c05089_NODE_50..	NODE_5089_length_10400_cov_5.284969	terpene	Terpene		
Pf12_c05370_NODE_53...region001	c05370_NODE_53..	NODE_5370_length_9955_cov_9.750606	bacteriocin	RiPPs		
Pf12_c05928_NODE_59...region001	c05928_NODE_59..	NODE_5928_length_9155_cov_8.634945	terpene	Terpene		
Pf12_c06110_NODE_61...region001	c06110_NODE_61..	NODE_6110_length_8933_cov_5.644515	T1PKS	PKSI		
Pf12_c06317_NODE_63...region001	c06317_NODE_63..	NODE_6317_length_8695_cov_10.437500	LAP	RiPPs		
Pf12_c06359_NODE_63...region001	c06359_NODE_63..	NODE_6359_length_8651_cov_6.956375	terpene	Terpene		
Pf12_c06377_NODE_63...region001	c06377_NODE_63..	NODE_6377_length_8632_cov_4.938090	NRPS-like	NRPS		
Pf12_c06473_NODE_64...region001	c06473_NODE_64..	NODE_6473_length_8541_cov_53.151544	T3PKS	PKSother		
Pf12_c06505_NODE_65...region001	c06505_NODE_65..	NODE_6505_length_8511_cov_7.718661	lassopeptide	RiPPs		
Pf12_c06772_NODE_67...region001	c06772_NODE_67..	NODE_6772_length_8237_cov_12.615009	terpene	Terpene		
Pf12_c06810_NODE_68...region001	c06810_NODE_68..	NODE_6810_length_8200_cov_7.704359	NRPS-like	NRPS		
Pf12_c06988_NODE_69...region001	c06988_NODE_69..	NODE_6988_length_8018_cov_6.128595	bacteriocin	RiPPs		
Pf12_c06994_NODE_69...region001	c06994_NODE_69..	NODE_6994_length_8010_cov_11.207291	T1PKS	PKSI		
Pf12_c07072_NODE_70...region001	c07072_NODE_70..	NODE_7072_length_7933_cov_7.852501	NRPS-like	NRPS		
Pf12_c07225_NODE_72...region001	c07225_NODE_72..	NODE_7225_length_7793_cov_30.689455	bacteriocin	RiPPs		
Pf12_c07510_NODE_75...region001	c07510_NODE_75..	NODE_7510_length_7556_cov_5.993201	terpene	Terpene		
Pf12_c07529_NODE_75...region001	c07529_NODE_75..	NODE_7529_length_7541_cov_7.183142	T1PKS	PKSI		
Pf12_c07542_NODE_75...region001	c07542_NODE_75..	NODE_7542_length_7531_cov_5.230872	T1PKS	PKSI		
Pf12_c07935_NODE_79...region001	c07935_NODE_79..	NODE_7935_length_7211_cov_14.940609	terpene	Terpene		
Pf12_c07957_NODE_79...region001	c07957_NODE_79..	NODE_7957_length_7194_cov_7.637904	terpene	Terpene		
Pf12_c07999_NODE_79...region001	c07999_NODE_79..	NODE_7999_length_7164_cov_21.159235	terpene	Terpene		
Pf12_c08108_NODE_81...region001	c08108_NODE_81..	NODE_8108_length_7094_cov_25.520528	T1PKS	PKSI		
Pf12_c08132_NODE_81...region001	c08132_NODE_81..	NODE_8132_length_7078_cov_8.395700	T1PKS	PKSI		
Pf12_c08394_NODE_83...region001	c08394_NODE_83..	NODE_8394_length_6878_cov_5.993112	terpene	Terpene		
Pf12_c08417_NODE_84...region001	c08417_NODE_84..	NODE_8417_length_6862_cov_11.924636	NRPS-like	NRPS		
